,coef,err_rob,z,p_valor,odds_ratio,or_ic_inf,or_ic_sup
const,2.174607267644909,0.04242403031297559,51.2588561624659,0.0,8.798728898024574,8.096709107937617,9.561616848138495
agricola_int,3.6353902018997672,0.05535411883494693,65.67515260679431,0.0,37.91664515794375,34.01828324509682,42.261744064954726
mujer,-2.6657212005166757,0.09130545273984404,-29.195640791707103,2.2027602891701562e-187,0.06954917653955231,0.058153070432377364,0.08317854794880636
edad_c,-0.7758620245803773,0.012861747391899624,-60.32322055003336,0.0,0.4603068141376497,0.4488481761164022,0.4720579795485326
edad2,0.06759190572189515,0.006019284989769292,11.229225038651279,2.930373854198442e-29,1.0699285876386013,1.0573801835686583,1.0826259092380661
agro_x_mujer,-26.946853181100717,0.12242417893613239,-220.11054854742912,0.0,1.9821218946076632e-12,1.5592749744765313e-12,2.5196371835583547e-12
educ_4.0,0.07854925998682935,0.04823796511113668,1.6283700982381348,0.10344643401462335,1.0817166391972806,0.9841318329600794,1.1889777856253168
educ_5.0,0.1309503837740001,0.04684731267937957,2.795259242941368,0.005185811168628252,1.139911221816066,1.0399070541500939,1.249532435073423
