variable,ame,ame_pp
agricola_int,0.143865830717558,14.386583071755801
educ_5.0,0.0074724742639564225,0.7472474263956422
educ_4.0,0.0044354954805025356,0.44354954805025354
edad2,0.003836411199232491,0.38364111992324906
edad_c,-0.04403671901789809,-4.403671901789809
mujer,-0.19536241636156473,-19.536241636156472
agro_x_mujer,-0.9059396169854161,-90.59396169854162
