area,ciudad,conglomerado,panelm,vivienda,hogar,p01,p02,p03,p04,p05a,p05b,sexo,p07,edad,p081,p085,p09,p10a,p10b,p11,p12a,p12b,p15,p15aa,p15ab,cod_inf,p20,p21,p22,p23,p232,p233,p24,p25,p26,p27,p28,p29,p29a,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p421,p422,p42a,p43,p44a,p44b,p44c,p44d,p44e,p44f,p44g,p44h,p44i,p44j,p44k,p45,p46,p47a,p47b,p48,p49,p50,p51a,p51b,p51c,p52,p53,p54,p54a,p55,p56a,p56b,p57,p58,p61b1,p63,p64a,p64b,p65,p66,p67,p68a,p68b,p69,p70a,p70b,p71a,p71b,p72a,p72b,p73a,p73b,p74a,p74b,p75,p76,p77,p78,sd01,sd021,sd022,sd023,sd024,sd025,sd026,sd027,sd028,sd029,sd0210,sd0211,sd03,sp01,ced01a,estrato,peso_expansion,nivel_instruccion,ingreso_laboral,ingpc,pobreza,epobreza,condact,empleo,desempleo,sector,grupo1,rama1,upm,id_vivienda,id_hogar,id_persona,periodo,rural,ocupado,desempleado,pea,agricola,subempleo_ingreso,informal
2.0,10151.0,903202,058,06,1,01,1.0,75.0,1.0,10.0,10.0,1.0,2.0,,,,1.0,4.0,6.0,1.0,,,6.0,1.0,,2.0,2.0,8.0,,,,,10.0,1.0,,4.0,,,5.0,,,,,,,,,,,150.0,9213.0,7.0,,,,,,,,,,,,,,,,50.0,10.0,1.0,2.0,3.0,2.0,1.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,2.0,,1.0,50.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,8.0,1,0122,844.4972295763538,3.0,,86.5,1.0,0.0,5.0,1.0,,2.0,9.0,1.0,010151903202,01015190320205806,010151903202058061,01015190320205806101,202512.0,True,True,False,True,True,True,True
2.0,10151.0,903202,058,06,1,02,2.0,76.0,2.0,10.0,10.0,1.0,2.0,,,,1.0,4.0,4.0,1.0,,,6.0,1.0,,2.0,2.0,8.0,,,,,20.0,1.0,,4.0,,,6.0,,,,,,,,,,,150.0,6130.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,30.0,10.0,1.0,2.0,3.0,2.0,1.0,20.0,,,,,,,,,,,,5.0,140.0,1.0,20.0,37.0,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,9.0,3,0122,844.4972295763538,3.0,123.0,86.5,1.0,0.0,4.0,1.0,,2.0,6.0,1.0,010151903202,01015190320205806,010151903202058061,01015190320205806102,202512.0,True,True,False,True,True,True,True
2.0,10151.0,903202,058,07,1,01,1.0,58.0,1.0,10.0,10.0,1.0,2.0,,,,5.0,4.0,6.0,1.0,,,6.0,1.0,,1.0,1.0,,,,,,40.0,,1.0,4.0,,,6.0,,,,,,,,,,,4100.0,7112.0,4.0,,,,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25.0,2.0,1.0,3.0,3.0,2.0,1.0,40.0,,,,,,,,,,,,5.0,,,,,600.0,0.0,2.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,5.0,1,0122,844.4972295763538,3.0,600.0,300.0,0.0,0.0,1.0,1.0,,2.0,7.0,6.0,010151903202,01015190320205807,010151903202058071,01015190320205807101,202512.0,True,True,False,True,False,False,True
2.0,10159.0,900301,070,01,1,01,1.0,85.0,1.0,3.0,10.0,1.0,2.0,,,,1.0,4.0,2.0,1.0,,,6.0,1.0,,1.0,1.0,,,,,,15.0,1.0,,4.0,,,3.0,,,,,,,,,,,150.0,6130.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,60.0,10.0,1.0,2.0,3.0,2.0,1.0,15.0,,,,,,,,,,,,5.0,150.0,1.0,85.0,30.0,,,,,,,,2.0,,1.0,120.0,1.0,100.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,8.0,1,0121,770.2584545659316,3.0,205.0,212.5,0.0,0.0,4.0,1.0,,2.0,6.0,1.0,010159900301,01015990030107001,010159900301070011,01015990030107001101,202512.0,True,True,False,True,True,True,True
2.0,10159.0,900301,070,01,1,02,2.0,76.0,2.0,3.0,10.0,1.0,2.0,,,,1.0,4.0,3.0,1.0,,,6.0,1.0,,1.0,1.0,,,,,,20.0,1.0,,4.0,,,3.0,,,,,,,,,,,150.0,9213.0,7.0,,,,,,,,,,,,,,,,55.0,10.0,1.0,2.0,3.0,2.0,1.0,20.0,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,7.0,1,0121,770.2584545659316,3.0,,212.5,0.0,0.0,5.0,1.0,,2.0,9.0,1.0,010159900301,01015990030107001,010159900301070011,01015990030107001102,202512.0,True,True,False,True,True,True,True
2.0,10159.0,900301,070,02,1,01,1.0,48.0,1.0,10.0,10.0,2.0,2.0,,,,5.0,6.0,6.0,,,,6.0,2.0,30350.0,1.0,1.0,,,,,,40.0,,1.0,4.0,,,6.0,,,,,,,,,,,150.0,6130.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,30.0,10.0,1.0,1.0,3.0,2.0,1.0,40.0,,,,,,,,,,,,5.0,700.0,1.0,75.0,150.0,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,6.0,1,0121,770.2584545659316,4.0,625.0,213.33333333333334,0.0,0.0,1.0,1.0,,2.0,6.0,1.0,010159900301,01015990030107002,010159900301070021,01015990030107002101,202512.0,True,True,False,True,True,False,True
2.0,10159.0,900301,070,03,1,01,2.0,45.0,1.0,10.0,10.0,1.0,2.0,,,,3.0,4.0,6.0,1.0,,,6.0,1.0,,3.0,1.0,,,,,,40.0,,1.0,4.0,,,5.0,,,,,,,,,,,150.0,6130.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,25.0,10.0,1.0,2.0,3.0,2.0,1.0,40.0,,,,,,,,,,,,5.0,350.0,1.0,125.0,50.0,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,6.0,1,0121,770.2584545659316,3.0,425.0,181.25,0.0,0.0,4.0,1.0,,2.0,6.0,1.0,010159900301,01015990030107003,010159900301070031,01015990030107003101,202512.0,True,True,False,True,True,True,True
2.0,10159.0,900301,070,03,1,02,1.0,46.0,2.0,10.0,10.0,1.0,2.0,,,,3.0,4.0,6.0,1.0,,,6.0,1.0,,3.0,1.0,,,,,,50.0,,1.0,4.0,,,6.0,,,,,,,,,,,141.0,6121.0,4.0,,,,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25.0,11.0,1.0,2.0,3.0,2.0,2.0,30.0,20.0,0.0,150.0,9213.0,7.0,,10.0,1.0,2.0,3.0,2.0,5.0,,,,,300.0,0.0,2.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,7.0,1,0121,770.2584545659316,3.0,300.0,181.25,0.0,0.0,4.0,1.0,,2.0,6.0,1.0,010159900301,01015990030107003,010159900301070031,01015990030107003102,202512.0,True,True,False,True,True,True,True
2.0,10159.0,900301,070,04,1,02,2.0,54.0,3.0,10.0,10.0,3.0,2.0,,,,3.0,4.0,6.0,1.0,,,6.0,1.0,,2.0,1.0,,,,,,20.0,1.0,,4.0,,,1.0,,,,,,,,,,,150.0,6130.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,30.0,10.0,1.0,1.0,3.0,2.0,1.0,20.0,,,,,,,,,,,,5.0,400.0,1.0,130.0,50.0,,,,,,,,2.0,,2.0,,1.0,200.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,7.0,1,0121,770.2584545659316,3.0,480.0,337.5,0.0,0.0,1.0,1.0,,2.0,6.0,1.0,010159900301,01015990030107004,010159900301070041,01015990030107004102,202512.0,True,True,False,True,True,False,True
2.0,10159.0,900301,070,05,1,01,2.0,70.0,1.0,3.0,10.0,6.0,2.0,,,,1.0,6.0,2.0,,,,6.0,1.0,,1.0,1.0,,,,,,40.0,,1.0,4.0,,,3.0,,,,,,,,,,,150.0,6130.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,50.0,10.0,1.0,1.0,3.0,1.0,1.0,40.0,,,,,,,,,,,,5.0,600.0,1.0,70.0,200.0,,,,,,,,2.0,,1.0,120.0,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,5.0,1,0121,770.2584545659316,3.0,470.0,590.0,0.0,0.0,1.0,1.0,,1.0,6.0,1.0,010159900301,01015990030107005,010159900301070051,01015990030107005101,202512.0,True,True,False,True,True,False,False
2.0,10159.0,900301,070,06,1,02,2.0,61.0,3.0,10.0,10.0,3.0,2.0,,,,3.0,6.0,3.0,,,,6.0,1.0,,2.0,1.0,,,,,,30.0,1.0,,4.0,,,1.0,,,,,,,,,,,150.0,6130.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,35.0,10.0,1.0,1.0,3.0,2.0,1.0,30.0,,,,,,,,,,,,5.0,200.0,1.0,85.0,10.0,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,6.0,1,0121,770.2584545659316,3.0,275.0,203.75,0.0,0.0,4.0,1.0,,2.0,6.0,1.0,010159900301,01015990030107006,010159900301070061,01015990030107006102,202512.0,True,True,False,True,True,True,True
2.0,10159.0,900301,070,06,1,03,1.0,34.0,5.0,10.0,10.0,6.0,2.0,,,,5.0,6.0,6.0,,,,6.0,1.0,,2.0,1.0,,,,,,40.0,,1.0,4.0,,,5.0,,,,,,,,,,,4100.0,9313.0,4.0,,,,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,3.0,3.0,2.0,1.0,40.0,,,,,,,,,,,,5.0,,,,,470.0,0.0,2.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,5.0,1,0121,770.2584545659316,4.0,470.0,203.75,0.0,0.0,1.0,1.0,,2.0,9.0,6.0,010159900301,01015990030107006,010159900301070061,01015990030107006103,202512.0,True,True,False,True,False,False,True
